run_index,scenario,condition,seed,assignment_round,duration_seconds,warmup_seconds,max_model_decisions,max_model_decisions_per_agent,decision_window_seconds,max_model_decisions_per_window,model_decision_sample_rate,evolving_state_enabled,evolving_state_interval_seconds
50,normal_load,cockpit_only,2,2,43200,7200,300,100,7200,100,0.1,True,7200
51,normal_load,nursta_only,2,2,43200,7200,300,100,7200,100,0.1,True,7200
52,normal_load,both,2,2,43200,7200,300,100,7200,100,0.1,True,7200
53,high_load_high_acuity,baseline,2,2,43200,7200,300,100,7200,100,0.1,True,7200
54,high_load_high_acuity,cockpit_only,2,2,43200,7200,300,100,7200,100,0.1,True,7200
55,high_load_high_acuity,nursta_only,2,2,43200,7200,300,100,7200,100,0.1,True,7200
56,high_load_high_acuity,both,2,2,43200,7200,300,100,7200,100,0.1,True,7200
57,normal_load,baseline,2,3,43200,7200,300,100,7200,100,0.1,True,7200
58,normal_load,cockpit_only,2,3,43200,7200,300,100,7200,100,0.1,True,7200
59,normal_load,nursta_only,2,3,43200,7200,300,100,7200,100,0.1,True,7200
60,normal_load,both,2,3,43200,7200,300,100,7200,100,0.1,True,7200
61,high_load_high_acuity,baseline,2,3,43200,7200,300,100,7200,100,0.1,True,7200
62,high_load_high_acuity,cockpit_only,2,3,43200,7200,300,100,7200,100,0.1,True,7200
63,high_load_high_acuity,nursta_only,2,3,43200,7200,300,100,7200,100,0.1,True,7200
64,high_load_high_acuity,both,2,3,43200,7200,300,100,7200,100,0.1,True,7200
65,normal_load,baseline,2,4,43200,7200,300,100,7200,100,0.1,True,7200
66,normal_load,cockpit_only,2,4,43200,7200,300,100,7200,100,0.1,True,7200
67,normal_load,nursta_only,2,4,43200,7200,300,100,7200,100,0.1,True,7200
68,normal_load,both,2,4,43200,7200,300,100,7200,100,0.1,True,7200
69,high_load_high_acuity,baseline,2,4,43200,7200,300,100,7200,100,0.1,True,7200
70,high_load_high_acuity,cockpit_only,2,4,43200,7200,300,100,7200,100,0.1,True,7200
71,high_load_high_acuity,nursta_only,2,4,43200,7200,300,100,7200,100,0.1,True,7200
72,high_load_high_acuity,both,2,4,43200,7200,300,100,7200,100,0.1,True,7200
73,normal_load,baseline,2,5,43200,7200,300,100,7200,100,0.1,True,7200
74,normal_load,cockpit_only,2,5,43200,7200,300,100,7200,100,0.1,True,7200
75,normal_load,nursta_only,2,5,43200,7200,300,100,7200,100,0.1,True,7200
76,normal_load,both,2,5,43200,7200,300,100,7200,100,0.1,True,7200
